INFO:94:test:(3716.356689453125, tensor(1.1009))
INFO:95:train:(8180.611328125, tensor(2.2009))
INFO:95:test:(3669.33837890625, tensor(1.0866))
INFO:96:train:(8172.87890625, tensor(2.1960))
INFO:96:test:(3645.673583984375, tensor(1.0805))
INFO:97:train:(8174.0556640625, tensor(2.1955))
INFO:97:test:(3627.947265625, tensor(1.0835))
INFO:98:train:(8161.8984375, tensor(2.1987))
INFO:98:test:(3632.94921875, tensor(1.0890))
INFO:99:train:(8159.54638671875, tensor(2.2009))
INFO:99:test:(3619.015625, tensor(1.0844))
INFO:100:train:(8143.49169921875, tensor(2.1940))
INFO:100:test:(3630.361572265625, tensor(1.0870))
INFO:101:train:(8142.16796875, tensor(2.1920))
INFO:101:test:(3641.708740234375, tensor(1.0955))
INFO:102:train:(8132.8603515625, tensor(2.1946))
INFO:102:test:(3651.372802734375, tensor(1.1004))
INFO:103:train:(8130.87255859375, tensor(2.1970))
INFO:103:test:(3620.659912109375, tensor(1.0903))
INFO:104:train:(8117.9248046875, tensor(2.1912))
INFO:104:test:(3599.95947265625, tensor(1.0824))
INFO:105:train:(8113.9677734375, tensor(2.1887))
INFO:105:test:(3584.982421875, tensor(1.0819))
INFO:106:train:(8105.9111328125, tensor(2.1910))
INFO:106:test:(3588.2685546875, tensor(1.0849))
INFO:107:train:(8104.6484375, tensor(2.1943))
INFO:107:test:(3573.60595703125, tensor(1.0783))
INFO:108:train:(8094.14501953125, tensor(2.1885))
INFO:108:test:(3579.04296875, tensor(1.0796))
INFO:109:train:(8089.75439453125, tensor(2.1869))
INFO:109:test:(3593.502197265625, tensor(1.0886))
INFO:110:train:(8083.9794921875, tensor(2.1904))
INFO:110:test:(3576.762939453125, tensor(1.0857))
INFO:111:train:(8076.875, tensor(2.1884))
INFO:111:test:(3545.1357421875, tensor(1.0773))
INFO:112:train:(8071.69189453125, tensor(2.1850))
INFO:112:test:(3520.796142578125, tensor(1.0745))
INFO:113:train:(8065.22802734375, tensor(2.1858))
INFO:113:test:(3508.754638671875, tensor(1.0737))
INFO:114:train:(8062.27783203125, tensor(2.1873))
INFO:114:test:(3486.75048828125, tensor(1.0656))
INFO:115:train:(8055.4658203125, tensor(2.1825))
INFO:115:test:(3497.58642578125, tensor(1.0685))
INFO:116:train:(8048.8564453125, tensor(2.1818))
INFO:116:test:(3530.774658203125, tensor(1.0773))
INFO:117:train:(8046.6494140625, tensor(2.1842))
INFO:117:test:(3495.07275390625, tensor(1.0651))
INFO:118:train:(8041.97412109375, tensor(2.1783))
INFO:118:test:(3481.05029296875, tensor(1.0646))
INFO:119:train:(8033.12841796875, tensor(2.1789))
INFO:119:test:(3466.689453125, tensor(1.0635))
INFO:120:train:(8030.60498046875, tensor(2.1801))
INFO:120:test:(3433.2314453125, tensor(1.0522))
INFO:121:train:(8025.369140625, tensor(2.1747))
INFO:121:test:(3482.5419921875, tensor(1.0674))
INFO:122:train:(8018.17626953125, tensor(2.1764))
INFO:122:test:(3489.373779296875, tensor(1.0691))
INFO:123:train:(8013.55615234375, tensor(2.1754))
INFO:123:test:(3445.889404296875, tensor(1.0565))
INFO:124:train:(8010.50341796875, tensor(2.1727))
INFO:124:test:(3479.016357421875, tensor(1.0690))
INFO:125:train:(8009.64990234375, tensor(2.1774))
INFO:125:test:(3442.24072265625, tensor(1.0524))
INFO:126:train:(8003.30419921875, tensor(2.1700))
INFO:126:test:(3487.796630859375, tensor(1.0664))
INFO:127:train:(7996.58837890625, tensor(2.1713))
INFO:127:test:(3468.783203125, tensor(1.0635))
INFO:128:train:(7991.70751953125, tensor(2.1711))
INFO:128:test:(3405.255615234375, tensor(1.0474))
INFO:129:train:(7993.3671875, tensor(2.1700))
INFO:129:test:(3533.46435546875, tensor(1.0809))
INFO:130:train:(8003.10107421875, tensor(2.1768))
INFO:130:test:(3461.1123046875, tensor(1.0469))
INFO:131:train:(7998.26708984375, tensor(2.1633))
INFO:131:test:(3482.552978515625, tensor(1.0601))
INFO:132:train:(7981.60888671875, tensor(2.1646))
INFO:132:test:(3501.869140625, tensor(1.0720))
INFO:133:train:(7986.99755859375, tensor(2.1707))
INFO:133:test:(3444.607177734375, tensor(1.0532))
INFO:134:train:(7975.90283203125, tensor(2.1638))
INFO:134:test:(3438.328857421875, tensor(1.0504))
INFO:135:train:(7977.7646484375, tensor(2.1630))
INFO:135:test:(3500.2177734375, tensor(1.0704))
INFO:136:train:(7976.33837890625, tensor(2.1670))
INFO:136:test:(3460.849609375, tensor(1.0578))
INFO:137:train:(7969.1611328125, tensor(2.1626))
INFO:137:test:(3420.40869140625, tensor(1.0398))
INFO:138:train:(7971.36767578125, tensor(2.1573))
INFO:138:test:(3442.24169921875, tensor(1.0490))
INFO:139:train:(7962.94921875, tensor(2.1576))
INFO:139:test:(3467.255859375, tensor(1.0615))
INFO:140:train:(7964.5380859375, tensor(2.1624))
INFO:140:test:(3413.162353515625, tensor(1.0483))
INFO:141:train:(7958.09375, tensor(2.1598))
INFO:141:test:(3396.0146484375, tensor(1.0398))
INFO:142:train:(7959.41259765625, tensor(2.1572))
INFO:142:test:(3450.53515625, tensor(1.0538))
INFO:143:train:(7953.4580078125, tensor(2.1574))
INFO:143:test:(3447.301025390625, tensor(1.0541))
INFO:144:train:(7952.8427734375, tensor(2.1585))
INFO:144:test:(3421.082275390625, tensor(1.0439))
INFO:145:train:(7949.07177734375, tensor(2.1552))
INFO:145:test:(3430.93505859375, tensor(1.0428))
INFO:146:train:(7947.96484375, tensor(2.1531))
INFO:146:test:(3447.785888671875, tensor(1.0506))
INFO:147:train:(7944.01123046875, tensor(2.1548))
INFO:147:test:(3426.74853515625, tensor(1.0496))
INFO:148:train:(7943.0048828125, tensor(2.1570))
INFO:148:test:(3399.53076171875, tensor(1.0416))
INFO:149:train:(7939.498046875, tensor(2.1548))
INFO:149:test:(3413.23095703125, tensor(1.0416))
INFO:150:train:(7938.50830078125, tensor(2.1525))
INFO:150:test:(3417.876220703125, tensor(1.0439))
INFO:151:train:(7935.169921875, tensor(2.1526))
INFO:151:test:(3397.12744140625, tensor(1.0397))
INFO:152:train:(7934.6162109375, tensor(2.1529))
INFO:152:test:(3407.108154296875, tensor(1.0388))
